"name","gender"
"SELLIS Siim","Men"
"TEPPAN Vahur","Men"
"NAESS Boerre","Men"
"PETTERSEN Oeystein","Men"
"GAILLARD Cyril","Men"
"JALLAI Erkki","Men"
"REINMETS Dmitri","Men"
"NORTHUG Petter","Men"
"GULLO Giovanni","Men"
"SCOLA Fulvio","Men"
"FREDRIKSSON Thobias","Men"
"EBNER Thomas","Men"
"FLORA Lars","Men"
"JOHANSSON Patrik","Men"
"RAZYM Ales","Men"
"TOLVANEN Olli-Pekka","Men"
"MLYNAR Peter","Men"
"LASUTKIN Alexander","Men"
"GUEDON Pierre","Men"
"RYKR Jan","Men"
"VAN DER PLOEG Mark","Men"
"FILBRICH Jens","Men"
"GAILLARD Jean Marc","Men"
"VITTOZ Vincent","Men"
"FREDRIKSSON Mathias","Men"
"JOHNSRUD SUNDBY Martin","Men"
"MAGAL Jiri","Men"
"MANIFICAT Maurice","Men"
"MARSCHALL Philipp","Men"
"JONNIER Emmanuel","Men"
"DUVILLARD Robin","Men"
"JAUHOJAERVI Sami","Men"
"KOUKAL Martin","Men"
"JAKS Martin","Men"
"GAUSTAD John Anders","Men"
"LALLUKKA Juha","Men"
"OESTENSEN Simen","Men"
"HOFFMANN Christian","Men"
"ANDREASSON Rikard","Men"
"YOSHIDA Keishin","Men"
"MUEHLEMATTER Marco","Men"
"BAUMANN Jonas","Men"
"SPERL Milan","Men"
"KOSTNER Florian","Men"
"MICHALEK Mariusz","Men"
"KIMURA Masaya","Men"
"FLORINETT Andrea","Men"
"TAMMJARV Karel","Men"
"FURGER Roman","Men"
"DIETER Felix","Men"
"WATSON Callum","Men"
"VOLKEN Dominik","Men"
"BURGOV Ivan","Men"
"JYLHAE Martti","Men"
"KOZISEK Dusan","Men"
"STOCKINGER Martin","Men"
"JAEGER Martin","Men"
"FLURY Gaudenz","Men"
"GRUBER Mauro","Men"
"VAICIULIS Modestas","Men"
"TUEFER Noe","Men"
"HEDIGER Jovian","Men"
"NYIKOS Thomas","Men"
"PETERS Kari","Men"
"WALDMEIER Andreas","Men"
"BAENA Cesar","Men"
"EDIN Johan","Men"
"HAENEL Lars","Men"
"WUENSCH Oliver","Men"
"WURM Harald","Men"
"HAENEL Erik","Men"
"BERGMANN Max","Men"
"KASHIWABARA Nobuhito","Men"
"SCHNURRER Manuel","Men"
"KUZMENKO Sergej","Men"
"BAKKEN Timo Andre","Men"
"BYSTROEM Fredrik","Men"
"PENTSINEN Anssi","Men"
"HAEKAEMIES Antti","Men"
"SJOLUND Oskar","Men"
"JOUTSEN Jari","Men"
"MIKKONEN Juho","Men"
"KURTTILA Keijo","Men"
"KITTILAE Kusti","Men"
"PUTSKO Olexandr","Men"
"LEYBYUK Roman","Men"
"VOLZHENTSEV Stanislav","Men"
"OHTONEN Olli","Men"
"RAMSTEDT Thomas","Men"
"SHTUN Vitaliy","Men"
"VARIS Kari","Men"
"KOMAMURA Shunsuke","Men"
"IM Yeui Gyu","Men"
"LEE Jun Gil","Men"
"HAFSAAS Ronny Andre","Men"
"KOZU Masaaki","Men"
"ROETHE Sjur","Men"
"ELIASSEN Petter","Men"
"POST Arne","Men"
"RENNEMO Kristian","Men"
"DYRHAUG Niklas","Men"
"SOEDERHIELM Tiio","Men"
"HOFF Erlend","Men"
"POTOCNIK Domen","Men"
"GOLOVKO Andrei","Men"
"OLSEN Jonas","Men"
"KANAMARU Tomio","Men"
"MOELGAARD Asger Fischer","Men"
"SANTUS Fabio","Men"
"HALFVARSSON Calle","Men"
"GJERDALEN Tord Asle","Men"
"NIGHBOR David","Men"
"SOERENSEN Sebastian","Men"
"IVERSEN Trond","Men"
"THUN Stein Vidar","Men"
"NARUSK Priit","Men"
"BRUNNER Tom","Men"
"HEUN Daniel","Men"
"RODGERS Colin","Men"
"GLOEERSEN Oeyvind","Men"
"GRAEFNINGS Kalle","Men"
"BOERSHEIM Torjus","Men"
"GAFAROV Anton","Men"
"HORNTVEDT Kristian","Men"
"GRIMMER Nick","Men"
"OLSEN Eirik Kurland","Men"
"JESPERSEN Chris","Men"
"HOLUND Hans Christer","Men"
"BJERKE Espen Harald","Men"
"ROYCROFT Dan","Men"
"VAHTRA Eeri","Men"
"FRODAHL Magnus","Men"
"AMBROSETTI Damien","Men"
"LARSSON Peter","Men"
"MAARANEN Mikko","Men"
"HARKONEN Teemu","Men"
"POIKELA Jari","Men"
"BESSMERTNYKH Alexander","Men"
